Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","511","Population totale","S2501","Population","2018","2018","1000 No","57339.64","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","511","Population totale","S2501","Population","2019","2019","1000 No","58087.06","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","072","Botswana","511","Population totale","S2501","Population","2018","2018","1000 No","2451.41","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","072","Botswana","511","Population totale","S2501","Population","2019","2019","1000 No","2499.7","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","748","Eswatini","511","Population totale","S2501","Population","2018","2018","1000 No","1160.43","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","748","Eswatini","511","Population totale","S2501","Population","2019","2019","1000 No","1169.61","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","426","Lesotho","511","Population totale","S2501","Population","2018","2018","1000 No","2198.02","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","426","Lesotho","511","Population totale","S2501","Population","2019","2019","1000 No","2225.7","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","516","Namibie","511","Population totale","S2501","Population","2018","2018","1000 No","2405.68","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","516","Namibie","511","Population totale","S2501","Population","2019","2019","1000 No","2446.64","X","Ciffre de sources internationales"
