Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","204","Bénin","511","Population totale","S2501","Population","2018","2018","1000 No","11940.68","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","511","Population totale","S2501","Population","2019","2019","1000 No","12290.44","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","854","Burkina Faso","511","Population totale","S2501","Population","2018","2018","1000 No","20392.72","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","854","Burkina Faso","511","Population totale","S2501","Population","2019","2019","1000 No","20951.64","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","132","Cabo Verde","511","Population totale","S2501","Population","2018","2018","1000 No","571.2","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","132","Cabo Verde","511","Population totale","S2501","Population","2019","2019","1000 No","577.03","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","384","Côte d'Ivoire","511","Population totale","S2501","Population","2018","2018","1000 No","25493.99","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","384","Côte d'Ivoire","511","Population totale","S2501","Population","2019","2019","1000 No","26147.55","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","270","Gambie","511","Population totale","S2501","Population","2018","2018","1000 No","2444.92","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","270","Gambie","511","Population totale","S2501","Population","2019","2019","1000 No","2508.88","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","288","Ghana","511","Population totale","S2501","Population","2018","2018","1000 No","30870.64","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","288","Ghana","511","Population totale","S2501","Population","2019","2019","1000 No","31522.29","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","324","Guinée","511","Population totale","S2501","Population","2018","2018","1000 No","12554.86","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","324","Guinée","511","Population totale","S2501","Population","2019","2019","1000 No","12877.54","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","624","Guinée-Bissau","511","Population totale","S2501","Population","2018","2018","1000 No","1924.95","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","624","Guinée-Bissau","511","Population totale","S2501","Population","2019","2019","1000 No","1970.46","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","430","Libéria","511","Population totale","S2501","Population","2018","2018","1000 No","4889.39","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","430","Libéria","511","Population totale","S2501","Population","2019","2019","1000 No","4985.29","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","466","Mali","511","Population totale","S2501","Population","2018","2018","1000 No","19934.3","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","466","Mali","511","Population totale","S2501","Population","2019","2019","1000 No","20567.42","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","478","Mauritanie","511","Population totale","S2501","Population","2018","2018","1000 No","4270.71","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","478","Mauritanie","511","Population totale","S2501","Population","2019","2019","1000 No","4383.85","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","562","Niger","511","Population totale","S2501","Population","2018","2018","1000 No","22577.06","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","562","Niger","511","Population totale","S2501","Population","2019","2019","1000 No","23443.39","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","566","Nigéria","511","Population totale","S2501","Population","2018","2018","1000 No","198387.62","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","566","Nigéria","511","Population totale","S2501","Population","2019","2019","1000 No","203304.49","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","686","Sénégal","511","Population totale","S2501","Population","2018","2018","1000 No","15574.91","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","686","Sénégal","511","Population totale","S2501","Population","2019","2019","1000 No","16000.78","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","694","Sierra Leone","511","Population totale","S2501","Population","2018","2018","1000 No","7861.28","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","694","Sierra Leone","511","Population totale","S2501","Population","2019","2019","1000 No","8046.83","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","768","Togo","511","Population totale","S2501","Population","2018","2018","1000 No","8046.68","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","768","Togo","511","Population totale","S2501","Population","2019","2019","1000 No","8243.09","X","Ciffre de sources internationales"
