Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","012","Algérie","511","Population totale","S2501","Population","2018","2018","1000 No","41927.01","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","511","Population totale","S2501","Population","2019","2019","1000 No","42705.37","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","818","Égypte","511","Population totale","S2501","Population","2018","2018","1000 No","103740.77","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","818","Égypte","511","Population totale","S2501","Population","2019","2019","1000 No","105618.67","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","434","Libye","511","Population totale","S2501","Population","2018","2018","1000 No","6477.79","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","434","Libye","511","Population totale","S2501","Population","2019","2019","1000 No","6569.09","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","504","Maroc","511","Population totale","S2501","Population","2018","2018","1000 No","35927.51","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","504","Maroc","511","Population totale","S2501","Population","2019","2019","1000 No","36304.41","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","729","Soudan","511","Population totale","S2501","Population","2018","2018","1000 No","41999.06","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","729","Soudan","511","Population totale","S2501","Population","2019","2019","1000 No","43232.09","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","788","Tunisie","511","Population totale","S2501","Population","2018","2018","1000 No","11933.04","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","788","Tunisie","511","Population totale","S2501","Population","2019","2019","1000 No","12049.31","X","Ciffre de sources internationales"
