Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","511","Population totale","S2501","Population","2018","2018","1000 No","36686.78","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","511","Population totale","S2501","Population","2019","2019","1000 No","37769.5","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","050","Bangladesh","511","Population totale","S2501","Population","2018","2018","1000 No","163683.96","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","050","Bangladesh","511","Population totale","S2501","Population","2019","2019","1000 No","165516.22","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","064","Bhoutan","511","Population totale","S2501","Population","2019","2019","1000 No","767.46","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","356","Inde","511","Population totale","S2501","Population","2018","2018","1000 No","1369003.31","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","356","Inde","511","Population totale","S2501","Population","2019","2019","1000 No","1383112.05","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","364","Iran (République islamique d')","511","Population totale","S2501","Population","2018","2018","1000 No","85617.56","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","364","Iran (République islamique d')","511","Population totale","S2501","Population","2019","2019","1000 No","86564.2","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","462","Maldives","511","Population totale","S2501","Population","2018","2018","1000 No","489.76","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","462","Maldives","511","Population totale","S2501","Population","2019","2019","1000 No","504.51","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","524","Népal","511","Population totale","S2501","Population","2018","2018","1000 No","28506.71","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","524","Népal","511","Population totale","S2501","Population","2019","2019","1000 No","28832.5","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","586","Pakistan","511","Population totale","S2501","Population","2018","2018","1000 No","219731.48","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","586","Pakistan","511","Population totale","S2501","Population","2019","2019","1000 No","223293.28","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","144","Sri Lanka","511","Population totale","S2501","Population","2018","2018","1000 No","21580.71","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","144","Sri Lanka","511","Population totale","S2501","Population","2019","2019","1000 No","21649.66","X","Ciffre de sources internationales"
