Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","208","Danemark","511","Population totale","S2501","Population","2018","2018","1000 No","5766.69","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","208","Danemark","511","Population totale","S2501","Population","2019","2019","1000 No","5795.88","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","233","Estonie","511","Population totale","S2501","Population","2018","2018","1000 No","1322.15","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","233","Estonie","511","Population totale","S2501","Population","2019","2019","1000 No","1327.04","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","246","Finlande","511","Population totale","S2501","Population","2018","2018","1000 No","5515.46","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","246","Finlande","511","Population totale","S2501","Population","2019","2019","1000 No","5521.54","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","372","Irlande","511","Population totale","S2501","Population","2018","2018","1000 No","4834.51","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","372","Irlande","511","Population totale","S2501","Population","2019","2019","1000 No","4896.02","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","352","Islande","511","Population totale","S2501","Population","2018","2018","1000 No","352.95","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","352","Islande","511","Population totale","S2501","Population","2019","2019","1000 No","360.77","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","428","Lettonie","511","Population totale","S2501","Population","2018","2018","1000 No","1935.63","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","428","Lettonie","511","Population totale","S2501","Population","2019","2019","1000 No","1916.56","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","440","Lituanie","511","Population totale","S2501","Population","2018","2018","1000 No","2876.13","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","440","Lituanie","511","Population totale","S2501","Population","2019","2019","1000 No","2849.08","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","578","Norvège","511","Population totale","S2501","Population","2018","2018","1000 No","5312.32","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","578","Norvège","511","Population totale","S2501","Population","2019","2019","1000 No","5348.28","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","826","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","511","Population totale","S2501","Population","2018","2018","1000 No","66432.99","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","826","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","511","Population totale","S2501","Population","2019","2019","1000 No","66778.66","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","752","Suède","511","Population totale","S2501","Population","2018","2018","1000 No","10162.3","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","752","Suède","511","Population totale","S2501","Population","2019","2019","1000 No","10267.92","X","Ciffre de sources internationales"
