Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","242","Fidji","511","Population totale","S2501","Population","2018","2018","1000 No","919","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","242","Fidji","511","Population totale","S2501","Population","2019","2019","1000 No","918.47","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","090","Îles Salomon","511","Population totale","S2501","Population","2018","2018","1000 No","659.25","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","090","Îles Salomon","511","Population totale","S2501","Population","2019","2019","1000 No","674.99","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","540","Nouvelle-Calédonie","511","Population totale","S2501","Population","2018","2018","1000 No","284.88","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","540","Nouvelle-Calédonie","511","Population totale","S2501","Population","2019","2019","1000 No","285.37","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","598","Papouasie-Nouvelle-Guinée","511","Population totale","S2501","Population","2018","2018","1000 No","9329.23","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","598","Papouasie-Nouvelle-Guinée","511","Population totale","S2501","Population","2019","2019","1000 No","9542.49","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","548","Vanuatu","511","Population totale","S2501","Population","2018","2018","1000 No","297.3","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","548","Vanuatu","511","Population totale","S2501","Population","2019","2019","1000 No","304.4","X","Ciffre de sources internationales"
