Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","116","Cambodge","511","Population totale","S2501","Population","2018","2018","1000 No","16025.24","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","116","Cambodge","511","Population totale","S2501","Population","2019","2019","1000 No","16207.75","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","360","Indonésie","511","Population totale","S2501","Population","2018","2018","1000 No","267066.84","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","360","Indonésie","511","Population totale","S2501","Population","2019","2019","1000 No","269582.88","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","458","Malaisie","511","Population totale","S2501","Population","2018","2018","1000 No","32399.27","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","458","Malaisie","511","Population totale","S2501","Population","2019","2019","1000 No","32804.02","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","104","Myanmar","511","Population totale","S2501","Population","2018","2018","1000 No","52666.01","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","104","Myanmar","511","Population totale","S2501","Population","2019","2019","1000 No","53040.21","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","608","Philippines","511","Population totale","S2501","Population","2018","2018","1000 No","108568.84","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","608","Philippines","511","Population totale","S2501","Population","2019","2019","1000 No","110380.8","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","418","République démocratique populaire lao","511","Population totale","S2501","Population","2018","2018","1000 No","7105.01","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","418","République démocratique populaire lao","511","Population totale","S2501","Population","2019","2019","1000 No","7212.05","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","764","Thaïlande","511","Population totale","S2501","Population","2018","2018","1000 No","71127.8","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","764","Thaïlande","511","Population totale","S2501","Population","2019","2019","1000 No","71307.76","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","626","Timor-Leste","511","Population totale","S2501","Population","2018","2018","1000 No","1261.85","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","626","Timor-Leste","511","Population totale","S2501","Population","2019","2019","1000 No","1280.44","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","704","Viet Nam","511","Population totale","S2501","Population","2018","2018","1000 No","94914.33","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","704","Viet Nam","511","Population totale","S2501","Population","2019","2019","1000 No","95776.72","X","Ciffre de sources internationales"
