,Pays,Disponibilité alimentaire kcal/hab/jour,PIB/habitant 2019
0,Zimbabwe,2024.55,1342.98958637234
1,Zambie,2243.06,1310.62222427718
2,Viet Nam,2962.17,3288.35307286665
3,Uruguay,3277.9,17563.2081528684
4,Ukraine,2943.3,2425.63500976563
5,Turquie,3802.06,11935.3878678248
6,Turkménistan,2851.7599999999998,7422.36252071934
7,Tunisie,3440.64,4094.88057787837
8,Trinité-et-Tobago,2953.23,15576.4345951869
9,Togo,2436.06,837.492927554283
10,Timor-Leste,2233.59,1530.811079542
11,Thaïlande,2808.98,6453.89414317878
12,Tchad,2298.56,652.703215990686
13,Tadjikistan,2765.88,1172.07912349879
14,Suriname,2694.28,8756.15515409007
15,Suisse,3409.1299999999997,87123.6604363226
16,Suède,3241.0,53490.3518198746
17,Sri Lanka,2763.64,4458.43443395121
18,Soudan,2572.34,1950.03161621094
19,Slovénie,3148.2599999999998,24125.3920363107
21,Sierra Leone,2295.9700000000003,634.985615716206
22,Seychelles,3132.1800000000003,16747.3432803379
23,Serbie,3462.57,6567.90805482597
24,Sénégal,2705.12,1409.97082084872
25,Sao Tomé-et-Principe,2375.4,1676.39631287316
26,Sainte-Lucie,2669.35,11060.6888935619
27,Saint-Vincent-et-les Grenadines,2961.33,8234.27446178198
28,Saint-Kitts-et-Nevis,2831.42,22137.3755554206
29,Rwanda,2197.73,871.109890772384
30,Roumanie,3645.87,11252.8865517098
31,République dominicaine,3049.87,8205.14257811769
32,République démocratique populaire lao,2724.5499999999997,2564.0196538036
33,République centrafricaine,1853.54,381.414046366167
38,République arabe syrienne,2518.23,781.391217414265
39,Qatar,3481.54,59672.641552652
40,Portugal,3485.48,21617.411624379
42,Pologne,3477.53,15053.2393552684
43,Philippines,2815.77,3589.6136409773
44,Pérou,2804.12,6550.44751849538
45,Paraguay,3095.35,6229.21196026985
46,Panama,3054.02,15166.880907114
47,Pakistan,2449.44,1452.85142930928
48,Ouzbékistan,3234.8199999999997,3185.3345554112
49,Ouganda,2125.2400000000002,922.023174125429
50,Oman,3083.78,18044.2704535008
51,Nouvelle-Zélande,3128.43,40757.3681518167
52,Norvège,3532.1,76712.2871258373
53,Nigéria,2539.98,2505.46274518312
54,Niger,2595.68,520.919400175727
55,Nicaragua,2608.82,1965.2779064393
56,Népal,2845.29,1061.48627770693
57,Namibie,2574.9900000000002,4596.61963564645
58,Myanmar,2774.27,1577.8027436178
59,Mozambique,2082.28,600.403365932758
60,Monténégro,3463.47,7684.18036247051
