,geo_area,le_taux_de_croissance_moyen
1,afrique centrale,2.82
3,afrique orientale,2.68
2,afrique occidentale,2.57
13,australie nouvelle zelande,2.1
4,afrique septentrionnale,1.83
8,asie centrale,1.61
9,asie merid,1.38
0,afrique australe,1.37
10,asie occidentale,1.16
5,amerique centrale,1.16
6,amerique septentrionnale,1.05
12,asie sud,1.01
7,amerique sud,0.88
11,asie orientale,0.79
16,europe occidentale,0.55
14,caraibes,0.5
18,europe septentrionnale,0.39
15,europe merid,0.13
17,europe orientale,-0.35
