Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2083","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2060","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","51.76","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","50.76","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","30.59","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","31.26","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2404","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2370","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","40.73","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","39.57","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","55.98","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","59.69","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2329","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2335","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","52.29","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","53.84","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","48.89","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","45.95","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2992","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","3066","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","67.13","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","67.95","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","68.8","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","72.81","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2477","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2448","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","40.08","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","37.22","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","71.91","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","78.96","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2260","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2260","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","35.13","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","33.43","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","43.13","E","Valeur estimée"
