Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","511","Population totale","S2501","Population","2018","2018","1000 No","36686.78","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","511","Population totale","S2501","Population","2019","2019","1000 No","37769.5","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","511","Population totale","S2501","Population","2018","2018","1000 No","57339.64","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","511","Population totale","S2501","Population","2019","2019","1000 No","58087.06","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","511","Population totale","S2501","Population","2018","2018","1000 No","2877.01","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","511","Population totale","S2501","Population","2019","2019","1000 No","2873.88","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","511","Population totale","S2501","Population","2018","2018","1000 No","41927.01","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","511","Population totale","S2501","Population","2019","2019","1000 No","42705.37","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","511","Population totale","S2501","Population","2018","2018","1000 No","82896.7","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","511","Population totale","S2501","Population","2019","2019","1000 No","83148.14","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","024","Angola","511","Population totale","S2501","Population","2018","2018","1000 No","31273.53","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","024","Angola","511","Population totale","S2501","Population","2019","2019","1000 No","32353.59","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","511","Population totale","S2501","Population","2018","2018","1000 No","91.63","X","Ciffre de sources internationales"
