,item,country
0,Abats Comestible,175
73,Poissons Pelagiques,175
35,Huile d'Olive,175
48,Lait - Excl Beurre,175
50,Légumineuses Autres et produits,175
53,Miel,175
57,Noix et produits,175
58,Oeufs,175
60,Olives,175
61,"Oranges, Mandarines",175
66,Perciform,175
71,Poissons Eau Douce,175
75,Pommes de Terre et produits,175
30,Graisses Animales Crue,175
76,Pommes et produits,175
78,Raisin,175
79,Riz et produits,175
81,Soja,175
83,Sucre Eq Brut,175
88,Thé,175
89,Tomates et produits,175
90,Viande d'Ovins/Caprins,175
92,Viande de Bovins,175
93,Viande de Volailles,175
32,Huil Plantes Oleif Autr,175
49,"Légumes, autres",175
97,"Épices, Autres",175
12,Blé et produits,175
10,"Beurre, Ghee",175
21,"Céréales, Autres",175
6,Arachides,175
23,Edulcorants Autres,175
4,Ananas et produits,175
24,Feve de Cacao et produits,175
18,Coco (Incl Coprah),175
25,"Fruits, autres",175
15,Café et produits,175
19,Crustacés,174
67,Piments,174
72,"Poissons Marins, Autres",174
17,Citrons & Limes et produits,174
13,Boissons Alcooliques,174
74,Poivre,174
44,Huile de Tournesol,174
95,"Viande, Autre",174
94,Viande de porcins,174
7,Avoine,174
64,Pamplemousse et produits,173
11,Bière,173
96,Vin,173
56,"Mollusques, Autres",173
27,Graines Colza/Moutarde,173
8,Bananes,173
1,"Agrumes, Autres",173
52,Maïs et produits,172
38,Huile de Germe de Maïs,172
41,Huile de Soja,172
77,Racines nda,172
16,Cephalopodes,172
22,Dattes,171
31,Haricots,171
70,Pois,170
14,Boissons Fermentés,170
62,Orge et produits,169
59,Oignons,169
20,Crème,167
34,Huile d'Arachide,167
3,Aliments pour enfants,166
5,Animaux Aquatiques Autre,166
26,Girofles,165
55,Miscellanees,164
69,"Plantes Oleiferes, Autre",162
65,Patates douces,162
43,Huile de Sésame,157
9,Bananes plantains,151
87,Sésame,141
37,Huile de Colza&Moutarde,140
80,Seigle et produits,140
51,Manioc et produits,139
36,Huile de Coco,135
33,Huile Graines de Coton,133
39,Huile de Palme,119
47,Ignames,112
29,Graines de tournesol,106
40,Huile de Palmistes,101
54,Millet et produits,82
82,Sorgho et produits,80
86,"Sucre, canne",76
45,Huiles de Foie de Poisso,44
85,"Sucre, betterave",40
84,Sucre non centrifugé,30
42,Huile de Son de Riz,20
28,Graines de coton,20
46,Huiles de Poissons,10
63,Palmistes,9
68,Plantes Aquatiques,3
91,Viande de Anim Aquatiq,1
2,"Alcool, non Comestible",1
